Start Time (UTC) = 1729584223.221370
Time interval = 800 us

Time	Ch01Gr01	Ch01Gr02	Ch01Gr03	Ch01Gr04	Ch01Gr05	Ch02Gr01	Ch02Gr02	Ch02Gr03	Ch02Gr04	Ch02Gr05
	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)	Wavelength (nm)
0.000000	1559.4702	1554.1639	1549.1798	1545.0575	1542.3445	1559.5605	1553.7172	1549.1063	1546.4585	1542.6661
0.000800	1559.4702	1554.1655	1549.1790	1545.0583	1542.3445	1559.5613	1553.7180	1549.1055	1546.4569	1542.6669
0.001600	1559.4702	1554.1647	1549.1790	1545.0583	1542.3437	1559.5605	1553.7172	1549.1063	1546.4577	1542.6661
0.002400	1559.4694	1554.1647	1549.1790	1545.0575	1542.3445	1559.5605	1553.7172	1549.1055	1546.4577	1542.6669
0.003200	1559.4702	1554.1639	1549.1798	1545.0575	1542.3445	1559.5605	1553.7172	1549.1055	1546.4577	1542.6669
0.004000	1559.4702	1554.1655	1549.1790	1545.0583	1542.3445	1559.5605	1553.7180	1549.1047	1546.4585	1542.6669
0.004800	1559.4702	1554.1655	1549.1790	1545.0591	1542.3437	1559.5613	1553.7187	1549.1047	1546.4585	1542.6661
0.005600	1559.4694	1554.1647	1549.1798	1545.0583	1542.3453	1559.5605	1553.7172	1549.1055	1546.4585	1542.6669
0.006400	1559.4702	1554.1639	1549.1798	1545.0583	1542.3445	1559.5613	1553.7164	1549.1071	1546.4569	1542.6669
0.007200	1559.4702	1554.1647	1549.1790	1545.0591	1542.3445	1559.5597	1553.7180	1549.1055	1546.4577	1542.6669
0.008000	1559.4702	1554.1639	1549.1798	1545.0583	1542.3445	1559.5613	1553.7172	1549.1055	1546.4577	1542.6669
0.008800	1559.4702	1554.1647	1549.1774	1545.0591	1542.3445	1559.5613	1553.7172	1549.1039	1546.4585	1542.6669
0.009600	1559.4702	1554.1639	1549.1782	1545.0591	1542.3437	1559.5605	1553.7172	1549.1047	1546.4585	1542.6669
0.010400	1559.4702	1554.1647	1549.1782	1545.0591	1542.3445	1559.5613	1553.7180	1549.1047	1546.4585	1542.6669
0.011200	1559.4702	1554.1632	1549.1790	1545.0583	1542.3453	1559.5621	1553.7172	1549.1055	1546.4577	1542.6669
0.012000	1559.4702	1554.1647	1549.1782	1545.0583	1542.3445	1559.5621	1553.7172	1549.1063	1546.4577	1542.6669
0.012800	1559.4702	1554.1655	1549.1774	1545.0583	1542.3437	1559.5621	1553.7187	1549.1047	1546.4585	1542.6661
0.013600	1559.4702	1554.1647	1549.1774	1545.0583	1542.3453	1559.5605	1553.7172	1549.1055	1546.4569	1542.6669
0.014400	1559.4702	1554.1639	1549.1798	1545.0575	1542.3445	1559.5605	1553.7164	1549.1047	1546.4577	1542.6669
0.015200	1559.4710	1554.1639	1549.1790	1545.0583	1542.3445	1559.5613	1553.7164	1549.1063	1546.4577	1542.6661
0.016000	1559.4710	1554.1639	1549.1790	1545.0583	1542.3445	1559.5613	1553.7172	1549.1047	1546.4585	1542.6669
0.016800	1559.4702	1554.1639	1549.1790	1545.0591	1542.3445	1559.5597	1553.7164	1549.1055	1546.4577	1542.6669
0.017600	1559.4694	1554.1655	1549.1790	1545.0591	1542.3445	1559.5597	1553.7172	1549.1047	1546.4585	1542.6669
0.018400	1559.4702	1554.1639	1549.1806	1545.0583	1542.3445	1559.5597	1553.7164	1549.1047	1546.4577	1542.6669
0.019200	1559.4702	1554.1647	1549.1790	1545.0591	1542.3437	1559.5613	1553.7172	1549.1047	1546.4577	1542.6661
0.020000	1559.4694	1554.1639	1549.1798	1545.0583	1542.3445	1559.5613	1553.7180	1549.1063	1546.4585	1542.6669
0.020800	1559.4702	1554.1647	1549.1790	1545.0583	1542.3437	1559.5605	1553.7172	1549.1047	1546.4577	1542.6669
0.021600	1559.4702	1554.1647	1549.1782	1545.0591	1542.3445	1559.5613	1553.7164	1549.1047	1546.4577	1542.6669
0.022400	1559.4702	1554.1639	1549.1790	1545.0583	1542.3445	1559.5613	1553.7172	1549.1063	1546.4577	1542.6661
0.023200	1559.4702	1554.1632	1549.1798	1545.0583	1542.3445	1559.5613	1553.7172	1549.1063	1546.4569	1542.6669
0.024000	1559.4694	1554.1647	1549.1790	1545.0583	1542.3445	1559.5605	1553.7172	1549.1055	1546.4585	1542.6661
0.024800	1559.4710	1554.1655	1549.1774	1545.0583	1542.3445	1559.5621	1553.7180	1549.1055	1546.4585	1542.6669
0.025600	1559.4702	1554.1647	1549.1790	1545.0583	1542.3445	1559.5605	1553.7172	1549.1055	1546.4577	1542.6669
0.026400	1559.4702	1554.1639	1549.1798	1545.0575	1542.3445	1559.5605	1553.7164	1549.1055	1546.4577	1542.6677
0.027200	1559.4694	1554.1647	1549.1782	1545.0591	1542.3437	1559.5597	1553.7172	1549.1047	1546.4577	1542.6661
0.028000	1559.4694	1554.1655	1549.1790	1545.0591	1542.3437	1559.5597	1553.7172	1549.1047	1546.4585	1542.6669
0.028800	1559.4702	1554.1632	1549.1798	1545.0583	1542.3453	1559.5605	1553.7164	1549.1055	1546.4577	1542.6669
0.029600	1559.4702	1554.1647	1549.1790	1545.0591	1542.3445	1559.5605	1553.7164	1549.1055	1546.4577	1542.6669
0.030400	1559.4694	1554.1639	1549.1798	1545.0591	1542.3445	1559.5605	1553.7172	1549.1055	1546.4577	1542.6669
0.031200	1559.4702	1554.1647	1549.1782	1545.0591	1542.3437	1559.5597	1553.7172	1549.1055	1546.4585	1542.6669
0.032000	1559.4694	1554.1639	1549.1790	1545.0591	1542.3445	1559.5597	1553.7164	1549.1063	1546.4569	1542.6669
0.032800	1559.4694	1554.1639	1549.1790	1545.0591	1542.3445	1559.5613	1553.7164	1549.1063	1546.4577	1542.6669
0.033600	1559.4694	1554.1632	1549.1790	1545.0583	1542.3445	1559.5605	1553.7164	1549.1055	1546.4577	1542.6669
0.034400	1559.4694	1554.1647	1549.1790	1545.0591	1542.3437	1559.5605	1553.7180	1549.1047	1546.4585	1542.6661
0.035200	1559.4702	1554.1639	1549.1798	1545.0583	1542.3445	1559.5613	1553.7164	1549.1047	1546.4577	1542.6669
0.036000	1559.4702	1554.1655	1549.1774	1545.0591	1542.3445	1559.5597	1553.7187	1549.1055	1546.4577	1542.6669
0.036800	1559.4694	1554.1647	1549.1798	1545.0583	1542.3445	1559.5597	1553.7172	1549.1071	1546.4577	1542.6669
0.037600	1559.4694	1554.1647	1549.1790	1545.0583	1542.3445	1559.5597	1553.7156	1549.1055	1546.4577	1542.6661
0.038400	1559.4694	1554.1639	1549.1798	1545.0583	1542.3445	1559.5597	1553.7164	1549.1071	1546.4585	1542.6669
0.039200	1559.4694	1554.1647	1549.1790	1545.0575	1542.3437	1559.5597	1553.7164	1549.1063	1546.4577	1542.6661
0.040000	1559.4694	1554.1647	1549.1790	1545.0591	1542.3445	1559.5581	1553.7172	1549.1055	1546.4577	1542.6669
0.040800	1559.4694	1554.1647	1549.1782	1545.0583	1542.3437	1559.5605	1553.7172	1549.1055	1546.4585	1542.6669
0.041600	1559.4694	1554.1639	1549.1782	1545.0591	1542.3445	1559.5605	1553.7172	1549.1047	1546.4577	1542.6669
0.042400	1559.4694	1554.1647	1549.1790	1545.0591	1542.3445	1559.5597	1553.7172	1549.1047	1546.4562	1542.6669
0.043200	1559.4694	1554.1647	1549.1798	1545.0583	1542.3445	1559.5605	1553.7180	1549.1063	1546.4585	1542.6669
0.044000	1559.4694	1554.1655	1549.1782	1545.0583	1542.3445	1559.5589	1553.7180	1549.1055	1546.4577	1542.6669
0.044800	1559.4702	1554.1639	1549.1782	1545.0591	1542.3437	1559.5597	1553.7180	1549.1047	1546.4585	1542.6669
0.045600	1559.4694	1554.1639	1549.1774	1545.0583	1542.3445	1559.5597	1553.7172	1549.1047	1546.4577	1542.6677
0.046400	1559.4702	1554.1639	1549.1790	1545.0583	1542.3445	1559.5597	1553.7180	1549.1055	1546.4577	1542.6661
0.047200	1559.4686	1554.1639	1549.1782	1545.0583	1542.3437	1559.5589	1553.7172	1549.1047	1546.4577	1542.6669
0.048000	1559.4694	1554.1655	1549.1774	1545.0591	1542.3437	1559.5597	1553.7180	1549.1055	1546.4585	1542.6661
0.048800	1559.4694	1554.1632	1549.1798	1545.0583	1542.3437	1559.5597	1553.7172	1549.1055	1546.4577	1542.6669
0.049600	1559.4694	1554.1639	1549.1790	1545.0583	1542.3445	1559.5605	1553.7172	1549.1055	1546.4569	1542.6669
0.050400	1559.4322	1554.1647	1549.1790	1545.0575	1542.3453	1559.5597	1553.7164	1549.1063	1546.4569	1542.6669
0.051200	1559.4694	1554.1632	1549.1790	1545.0583	1542.3445	1559.5605	1553.7172	1549.1047	1546.4569	1542.6669
0.052000	1559.4694	1554.1639	1549.1790	1545.0583	1542.3445	1559.5597	1553.7164	1549.1063	1546.4577	1542.6669
0.052800	1559.4686	1554.1639	1549.1790	1545.0591	1542.3445	1559.5597	1553.7172	1549.1055	1546.4577	1542.6669
0.053600	1559.4694	1554.1647	1549.1790	1545.0591	1542.3453	1559.5605	1553.7172	1549.1047	1546.4569	1542.6669
0.054400	1559.4694	1554.1632	1549.1782	1545.0583	1542.3445	1559.5605	1553.7156	1549.1055	1546.4577	1542.6669
0.055200	1559.4694	1554.1647	1549.1782	1545.0583	1542.3453	1559.5589	1553.7172	1549.1047	1546.4585	1542.6669
0.056000	1559.4686	1554.1647	1549.1790	1545.0583	1542.3437	1559.5597	1553.7164	1549.1055	1546.4577	1542.6669
0.056800	1559.4686	1554.1639	1549.1790	1545.0583	1542.3445	1559.5597	1553.7172	1549.1055	1546.4577	1542.6661
0.057600	1559.4686	1554.1639	1549.1782	1545.0583	1542.3437	1559.5597	1553.7180	1549.1047	1546.4585	1542.6669
0.058400	1559.4694	1554.1639	1549.1782	1545.0583	1542.3445	1559.5605	1553.7172	1549.1047	1546.4585	1542.6661
0.059200	1559.4686	1554.1647	1549.1790	1545.0575	1542.3445	1559.5589	1553.7164	1549.1063	1546.4585	1542.6661
0.060000	1559.4686	1554.1639	1549.1790	1545.0591	1542.3437	1559.5589	1553.7164	1549.1055	1546.4585	1542.6669
0.060800	1559.4694	1554.1639	1549.1782	1545.0591	1542.3445	1559.5597	1553.7172	1549.1047	1546.4569	1542.6669
0.061600	1559.4694	1554.1632	1549.1790	1545.0583	1542.3453	1559.5613	1553.7156	1549.1055	1546.4577	1542.6669
